Repository,Is Fork,Last Updated,ASN1C Source Last Updated,Status,Abandonment Date,Stars,Forks
szpajder/dumpvdl2,False,2024-10-19 19:15:24+00:00,2018-12-21 22:17:36+00:00,Active,,236,0
privat-it/cryptonite,False,2021-11-05 20:36:20+00:00,2017-02-10 15:42:07+00:00,Abandoned,2021-11-05 20:36:20+00:00,53,0
ZhaoweiTan/MI-eNB,False,2021-01-19 08:18:54+00:00,,Abandoned,,0,0
THU-WingTecher/Charon,False,2022-10-11 02:36:47+00:00,2022-10-11 02:36:47+00:00,YoungRepo,,3,0
ZDEEX-COIN/zdeex-archive,False,2024-01-09 00:33:40+00:00,2024-01-08 23:22:55+00:00,Active,,1,0
riebl/vanetza,False,2025-01-20 17:49:09+00:00,2019-09-19 21:04:48+00:00,Active,,219,0
ika-rwth-aachen/etsi_its_messages,False,2025-01-21 18:53:09+00:00,2023-03-24 12:29:34+00:00,Active,,74,0
d-chugunov/asn1cpp,False,2016-01-07 19:21:39+00:00,2015-07-27 16:15:16+00:00,Abandoned,,4,0
wineslab/libe2proto,False,2023-12-13 13:11:35+00:00,2023-05-17 17:12:59+00:00,Active,,1,0
copslock/omec_Nucleus,False,2020-08-10 18:42:47+00:00,,Abandoned,,0,0
Naimur9800/Sc7731-Sc8830-Vendor_Source,False,2018-03-01 08:40:31+00:00,2018-03-01 08:40:31+00:00,Abandoned,,9,0
quickyu/gnss_sdr,False,2021-12-29 05:03:31+00:00,2020-02-08 00:20:02+00:00,Abandoned,2021-12-29 05:03:31+00:00,8,0
nextepc/nextepc,False,2024-10-18 19:38:32+00:00,2019-04-01 21:21:55+00:00,ActiveLessThan10CommitsThisYear,,149,0
ANTLab-polimi/oran-e2sim,False,2024-07-16 18:10:50+00:00,2020-09-14 16:05:31+00:00,Active,,1,0
SatDump/SatDump,False,2025-01-11 14:26:57+00:00,2023-02-12 15:19:24+00:00,Active,,1857,0
HACHEM-K/5g_slicing,False,2024-07-11 05:43:21+00:00,2024-05-03 13:09:17+00:00,YoungRepo,,0,0
osmocom/osmo-remsim,False,2024-12-11 17:56:30+00:00,,Active,,36,0
careychow/libIEC61850,False,2014-06-10 03:43:54+00:00,2013-10-02 01:40:08+00:00,Abandoned,,74,0
fillabs/fsmsggen,False,2025-01-19 20:36:05+00:00,2024-09-11 09:07:43+00:00,Active,,1,0
proglyk/libiec61850,False,2021-03-28 18:26:49+00:00,,Abandoned,,7,0
DriveX-devs/VaN3Twin,False,2025-01-11 00:38:52+00:00,2024-09-06 11:09:10+00:00,Active,,144,0
LinuxZQ93/CMS61850,False,2023-04-12 08:45:21+00:00,,YoungRepo,,27,0
o-ran-sc/it-test,False,2025-01-14 10:19:12+00:00,2020-11-19 11:31:07+00:00,Active,,4,0
nixtec/ss7_sigtran,False,2021-08-25 07:58:12+00:00,2021-08-01 15:53:39+00:00,Abandoned,,0,0
ctt-gob-es/firma-ios,False,2025-01-22 12:40:08+00:00,2016-09-27 08:28:18+00:00,Active,,9,0
Next-Flip/Momentum-Apps,False,2025-01-22 14:56:29+00:00,2024-02-02 00:01:29+00:00,Active,,540,0
SyNSec-den/5GBaseChecker,False,2025-01-22 17:04:11+00:00,2024-08-06 03:55:30+00:00,Active,,107,0
osmocom/osmo-cbc,False,2024-12-10 15:16:49+00:00,2022-07-13 15:27:15+00:00,Active,,15,0
msepulcre/mcoVanetza,False,2024-05-23 14:07:29+00:00,2023-07-13 08:52:38+00:00,Active,,0,0
mmitss/mmitss-common,False,2019-07-16 21:07:51+00:00,2019-03-19 00:39:33+00:00,Abandoned,,2,0
nikolailv/nbu_bankid_decoder,False,2019-11-05 07:29:12+00:00,2019-11-03 10:13:41+00:00,Abandoned,,2,0
a4a881d4/oai,False,2011-11-05 10:59:30+00:00,2011-11-05 10:02:04+00:00,Abandoned,,0,0
chuanqi1997/NUC980-OpenWrt-LEDE,False,2022-05-05 08:47:21+00:00,2020-05-09 15:23:54+00:00,Abandoned,,16,0
rwl/libiec61850,False,2013-04-04 18:51:00+00:00,2013-04-04 18:51:00+00:00,Abandoned,,33,0
LABORA-INF-UFG/NetSoft2020-Tutorial4-Demo2-Exp2,False,2020-10-27 17:26:37+00:00,2020-06-17 12:44:18+00:00,Abandoned,,5,0
eisbaer/v2x-lte,False,2016-03-30 20:54:20+00:00,2016-03-30 20:02:48+00:00,Abandoned,,25,0
bhuwll2007/Hello-world,False,2020-05-02 16:11:00+00:00,2020-05-02 16:03:06+00:00,Abandoned,,5,0
NICMx/FORT-validator,False,2025-01-22 23:26:39+00:00,2024-05-23 22:16:15+00:00,Active,,57,0
onosproject/onos-cu-cp,False,2020-08-28 23:08:39+00:00,2020-08-28 23:08:39+00:00,Abandoned,,5,0
llab305/O-RAN,False,2023-09-29 04:21:03+00:00,2022-11-12 07:39:28+00:00,ActiveLessThan10CommitsThisYear,,0,0
natale-p/Flourish,False,2017-06-22 16:02:09+00:00,,Abandoned,,1,0
moonstone0514/Open_5G,False,2024-01-05 06:36:45+00:00,2024-01-04 15:38:15+00:00,YoungRepo,,0,0
usdot-jpo-codehub/MMITSS_CA_FIELD,False,2019-09-30 18:44:51+00:00,2017-07-21 06:50:58+00:00,Abandoned,,1,0
aliyun/evolved-packet-core-demo,False,2021-11-28 09:04:37+00:00,2021-11-28 09:04:37+00:00,Abandoned,,4,0
klausweinbauer/LEVEL,False,2023-09-03 10:00:09+00:00,2022-07-20 01:44:28+00:00,Active,,1,0
o-ran-sc/archived-ric-plt-resource-status-processor,False,2019-11-14 12:09:36+00:00,2019-11-12 12:22:57+00:00,Abandoned,,0,0
